sample_id,gen_name,orig_text_clip,gen_text_clip,orig_gen_clip,orig_text_vclip,gen_text_vclip,orig_gen_vclip
195,195.mp4,0.3483582139015198,0.34158825874328613,0.9292983412742615,0.2754475474357605,0.2747361958026886,0.9064509868621826
197,197.mp4,0.3630823493003845,0.3810235261917114,0.9440015554428101,0.2741559147834778,0.24724599719047546,0.815711498260498
202,202.mp4,0.3694356083869934,0.3625894784927368,0.8810688257217407,0.21135038137435913,0.2645423114299774,0.8310434818267822
228,228.mp4,0.3616100549697876,0.3711385130882263,0.790780782699585,0.1944199800491333,0.2210076004266739,0.7986885905265808
243,243.mp4,0.3842374086380005,0.4222446084022522,0.8851233720779419,0.23674659430980682,0.2618582546710968,0.7729418277740479
244,244.mp4,0.31174084544181824,0.3587903678417206,0.7368100881576538,0.13277623057365417,0.20645950734615326,0.3803918659687042
247,247.mp4,0.3551117777824402,0.3724367618560791,0.8899334073066711,0.26736363768577576,0.29433923959732056,0.5319502949714661
258,258.mp4,0.37469255924224854,0.36403530836105347,0.8981947302818298,0.20831631124019623,0.22784137725830078,0.7427789568901062
260,260.mp4,0.334109365940094,0.3656808137893677,0.9116204380989075,0.27654415369033813,0.29666081070899963,0.9419918656349182
262,262.mp4,0.38190513849258423,0.39128416776657104,0.8813390731811523,0.2141324281692505,0.22070538997650146,0.8598113059997559
272,272.mp4,0.3611682653427124,0.35698774456977844,0.8158667087554932,0.2468491494655609,0.25522148609161377,0.8568829894065857
278,278.mp4,0.3988898992538452,0.2842966318130493,0.7897860407829285,0.31754207611083984,0.1293683499097824,0.525933563709259
280,280.mp4,0.40072470903396606,0.36249247193336487,0.8003466129302979,0.3063657879829407,0.19029957056045532,0.5974189043045044
283,283.mp4,0.28752022981643677,0.2966465950012207,0.9163541793823242,0.1832251250743866,0.20476332306861877,0.8963654041290283
285,285.mp4,0.35449540615081787,0.37803637981414795,0.9041956067085266,0.30197393894195557,0.3021203875541687,0.9009872674942017
289,289.mp4,0.3631713390350342,0.4064149856567383,0.8464345932006836,0.2925587296485901,0.3364099860191345,0.7891066074371338
290,290.mp4,0.3376644253730774,0.38405153155326843,0.8796567320823669,0.1237860694527626,0.2663390040397644,0.6045086979866028
294,294.mp4,0.4057157039642334,0.4252406358718872,0.8653479814529419,0.23017552495002747,0.2781011760234833,0.5912094712257385
297,297.mp4,0.38467085361480713,0.3870806097984314,0.8710821866989136,0.15966328978538513,0.15564897656440735,0.5849494934082031
340,340.mp4,0.2955116629600525,0.3330819308757782,0.6584056615829468,0.22515662014484406,0.1266942024230957,0.3563612103462219
341,341.mp4,0.31662657856941223,0.3353162407875061,0.8185601234436035,0.22162628173828125,0.2583451569080353,0.6907446384429932
343,343.mp4,0.31761008501052856,0.33242860436439514,0.8645598292350769,0.23434166610240936,0.25897157192230225,0.7518717646598816
344,344.mp4,0.3235684037208557,0.3282806873321533,0.9194321632385254,0.1895981729030609,0.16120755672454834,0.7082811594009399
345,345.mp4,0.360883891582489,0.35997462272644043,0.8921363353729248,0.3128504753112793,0.3185754418373108,0.8654899001121521
346,346.mp4,0.36862683296203613,0.3247819244861603,0.8511144518852234,0.22939439117908478,0.20132581889629364,0.6429011225700378
347,347.mp4,0.33178868889808655,0.31470048427581787,0.7819499373435974,0.2767462134361267,0.25464022159576416,0.5279104709625244
348,348.mp4,0.371715784072876,0.3677724599838257,0.8768420815467834,0.2970747947692871,0.29260075092315674,0.8540797233581543
350,350.mp4,0.3652719259262085,0.35977703332901,0.8675562143325806,0.16971160471439362,0.19033494591712952,0.5848959684371948
351,351.mp4,0.29707229137420654,0.34206467866897583,0.8505439758300781,0.20532788336277008,0.23571224510669708,0.673335075378418
353,353.mp4,0.3275834321975708,0.368852436542511,0.8841050863265991,0.19883716106414795,0.22956037521362305,0.6572482585906982
355,355.mp4,0.3172847330570221,0.33405667543411255,0.9460914731025696,0.17983227968215942,0.15605765581130981,0.7171461582183838
356,356.mp4,0.32276952266693115,0.3634297251701355,0.8342257142066956,0.17010614275932312,0.23510026931762695,0.6657021045684814
359,359.mp4,0.3752436935901642,0.3583700954914093,0.8559882044792175,0.2513880729675293,0.20074787735939026,0.7211931943893433
361,361.mp4,0.3492640256881714,0.33446818590164185,0.9067633748054504,0.30206501483917236,0.268473356962204,0.8691431879997253
362,362.mp4,0.3198845386505127,0.3354332447052002,0.88426274061203,0.22475561499595642,0.2234954535961151,0.8910862803459167
363,363.mp4,0.3205925226211548,0.3103608787059784,0.8941667079925537,0.3040923476219177,0.29847705364227295,0.6859443783760071
367,367.mp4,0.32580024003982544,0.3486173748970032,0.9021948575973511,0.20065879821777344,0.21291595697402954,0.659696638584137
370,370.mp4,0.377180814743042,0.37441906332969666,0.7941313982009888,0.23626989126205444,0.25560998916625977,0.5827810168266296
373,373.mp4,0.40512222051620483,0.4184444546699524,0.8749325275421143,0.28472986817359924,0.2704351544380188,0.7902106642723083
382,382.mp4,0.3753350079059601,0.394441694021225,0.9273902177810669,0.27933624386787415,0.30672478675842285,0.8684096336364746
397,397.mp4,0.41376838088035583,0.41007646918296814,0.9342771768569946,0.28723689913749695,0.2789580225944519,0.8015387058258057
402,402.mp4,0.4205303192138672,0.3893744945526123,0.7573347687721252,0.24782994389533997,0.2268085479736328,0.47824332118034363
406,406.mp4,0.34945234656333923,0.3839019536972046,0.8869197368621826,0.18759311735630035,0.21496133506298065,0.7126069068908691
407,407.mp4,0.41579702496528625,0.43046632409095764,0.8800244331359863,0.3035441040992737,0.26750448346138,0.7079978585243225
408,408.mp4,0.3691484034061432,0.3542701303958893,0.8990832567214966,0.3250581622123718,0.22149942815303802,0.6809529066085815
409,409.mp4,0.370319128036499,0.3620229661464691,0.8937720656394958,0.276494562625885,0.2492973953485489,0.6287236213684082
419,419.mp4,0.34880751371383667,0.3639477789402008,0.8980818390846252,0.17442628741264343,0.1827528178691864,0.6963028311729431
